id,category,name,description,example,applicable_genres
DT001,structure,动作穿插对话,"用动作打断对话，减少说话标签","他拿起杯子，抿了一口。"你说的是真的？"",all
DT002,structure,潜台词对话,"角色说的不是想的，话里有话","她说没事，但他看到她攥紧了拳头。",all
DT003,structure,对话打断,"用动作/事件打断对话制造张力",""我有话跟你说——"话没说完，门被踢开了。",all
DT004,style,角色专属口癖,"每个角色有独特的说话方式","老张爱说"行了行了"，小李总是"我觉得吧"",all
DT005,style,方言点缀,"适当使用方言增加真实感",""中！""得嘞！""整！"",urban|historical
DT006,style,沉默表达,"用沉默/动作代替对话传递情感","她没说话，转身走开了。",all
DT007,rhythm,长对话节奏,"长段对话中穿插动作和环境描写","对话→动作→环境→对话，避免纯对话堆砌",all
DT008,rhythm,短对话冲击,"关键信息用短对话突出",""死了。""谁？""你师父。"",mystery|xianxia|infinite
DT009,emotion,吵架升级,"争吵从低到高的情绪升级","平静→不满→激动→爆发→冷战",all
DT010,emotion,和解对话,"冲突后的和解，不要过于轻易","沉默→试探→表达→理解→和解",all
DT011,purpose,信息传递对话,"通过对话自然传递信息","不是直接叙述，而是角色交流中带出",all
DT012,purpose,性格展示对话,"通过对话展示角色性格","急躁的人说话短促，沉稳的人说话从容",all
DT013,purpose,关系暗示对话,"通过对话暗示角色关系","称呼变化、语气变化、话题选择",all
